"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","BAC_227080_AI_35","","5 minutes"
"Point_2:","BAC_227081_AI_35","","5 minutes"
"Point_3:","PSB.PWR.1CLDPA","","10 minutes"
"Point_4:","PSB.PWR.2CHDPA","","10 minutes"
"Point_5:","PSB.PWR.2HDPA","","10 minutes"
"Point_6:","PSB.PWR.2LDPA","","10 minutes"
"Point_7:","PSB.PWR.4CMCCA","","10 minutes"
"Point_8:","PSB.PWR.4DPELV","","10 minutes"
"Point_9:","PSB.PWR.4MCCA","","10 minutes"
"Point_10:","PSB.SLR.BTU:AV_2","","5 minutes"
"Point_11:","PSB.SNG.MTR","","5 minutes"
"Point_12:","PSB.TNG.MTR","","5 minutes"
"Point_13:","PSB.P2.WMTR1","","15 minutes"
"Point_14:","PSB.P2.WMTR2","","15 minutes"
"Point_15:","PSB.BLDG.GAS","","15 minutes"
"Point_16:","PSB.BLDG.PVPWR","","15 minutes"
"Point_17:","PSB.BLDG.PWR","","15 minutes"
"Point_18:","PSB.BLDG.WTR","","15 minutes"
"Point_19:","PSB.SLR.BTU:AV_1","","15 minutes"
"Point_20:","PSB.SLR.BTU:Energy Rate","","10 minutes"
"Time Interval:","5 Minutes"
"Date Range:","2/25/2016 04:05:04 - 2/25/2016 08:05:04"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14","Point_15","Point_16","Point_17","Point_18","Point_19","Point_20"
"2/25/2016","04:05:04","547583.00","225412.00","261507.0000","76601.0000","62044.0000","312294.0000","736973.0000","9596.0000","748800.0000","6724670.00","12155130","34810","3624000","0","1.21203e+007","772995.00","2207815","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:10:04","547583.00","225412.00","261510.0000","76601.0000","62046.0000","312298.0000","736978.0000","9596.0000","748808.0000","6724670.00","12155190","34810","3624000","0","1.21203e+007","772995.00","2207815","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:15:04","547583.00","225412.00","261510.0000","76601.0000","62046.0000","312298.0000","736978.0000","9596.0000","748808.0000","6724670.00","12155250","34810","3624000","0","1.21204e+007","772995.00","2207850","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:20:04","547583.00","225412.00","261514.0000","76601.0000","62048.0000","312303.0000","736984.0000","9596.0000","748816.0000","6724670.00","12155310","34810","3624000","0","1.21204e+007","772995.00","2207850","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:25:04","547583.00","225412.00","261514.0000","76601.0000","62048.0000","312303.0000","736984.0000","9596.0000","748816.0000","6724670.00","12155370","34810","3624000","0","1.21204e+007","772995.00","2207850","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:30:04","547583.00","225412.00","261517.0000","76601.0000","62049.0000","312306.0000","736989.0000","9596.0000","748824.0000","6724670.00","12155430","34810","3624000","0","1.21206e+007","772995.00","2207882","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:35:04","547583.00","225412.00","261517.0000","76601.0000","62049.0000","312306.0000","736989.0000","9596.0000","748824.0000","6724670.00","12155480","34810","3624000","0","1.21206e+007","772995.00","2207882","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:40:04","547583.00","225412.00","261520.0000","76602.0000","62051.0000","312311.0000","736994.0000","9596.0000","748832.0000","6724670.00","12155540","34810","3624000","0","1.21206e+007","772995.00","2207882","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:45:04","547583.00","225412.00","261520.0000","76602.0000","62051.0000","312311.0000","736994.0000","9596.0000","748832.0000","6724670.00","12155590","34820","3624000","0","1.21208e+007","772995.00","2207917","3624000.00","9.2375e+007","0.00"
"2/25/2016","04:50:04","547583.00","225412.00","261523.0000","76602.0000","62053.0000","312315.0000","736999.0000","9596.0000","748840.0000","6724670.00","12155640","34820","3624000","0","1.21208e+007","772995.00","2207917","3624000.00","9.2375e+007","0.00"
