# STATION: WBB,,,,,,,,,,,,,,,,
# STATION NAME: U of U William Browning Building,,,,,,,,,,,,,,,,
# LATITUDE: 40.76623,,,,,,,,,,,,,,,,
# LONGITUDE: -111.84755,,,,,,,,,,,,,,,,
# ELEVATION [ft]: 4806,,,,,,,,,,,,,,,,
# STATE: UT,,,,,,,,,,,,,,,,
,,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,altimeter_set_1d
Station_ID,Date_Time,Pascals,Celsius,%,Meters/second,Degrees,Meters/second,Millimeters,volts,W/m**2,Millimeters,Celsius,Celsius,Degrees,Celsius,Pascals
WBB,06/01/2015 00:00 MDT,85014,25.94,14.89,2.71,113.3,3.82,,13.03,0,,-2.73,,ESE,,101444.8
WBB,06/01/2015 00:05 MDT,85014,25.77,14.76,3.13,121.8,4.02,,12.97,0,,-2.99,,ESE,,101444.8
WBB,06/01/2015 00:10 MDT,85014,26.04,14.67,3.22,114,4.41,,12.96,0,,-2.85,,ESE,,101444.8
WBB,06/01/2015 00:15 MDT,85012,25.77,14.87,4.35,88.4,5.29,,13.03,0,,-2.89,,E,,101442.41
WBB,06/01/2015 00:20 MDT,85016,25.9,15.01,3.01,117.1,4.02,,12.97,0,,-2.66,,ESE,,101447.19
WBB,06/01/2015 00:25 MDT,85016,25.91,14.42,3.63,91.3,4.9,,13.01,0,,-3.18,,E,,101447.19
WBB,06/01/2015 00:30 MDT,85017,26.49,13.88,4.03,91.8,5.59,,13.03,0,,-3.22,,E,,101448.38
WBB,06/01/2015 00:35 MDT,85015,26.42,13.72,4.18,109.6,6.47,,13.03,0,,-3.43,,ESE,,101445.99
WBB,06/01/2015 00:40 MDT,85015,26.48,13.79,3.63,109.2,5.29,,12.97,0,,-3.32,,ESE,,101445.99
WBB,06/01/2015 00:45 MDT,85013,26.03,14.25,4.26,104,5.2,,13.03,0,,-3.24,,ESE,,101443.61
WBB,06/01/2015 00:50 MDT,85012,25.9,14.62,3.84,95.9,5,,12.97,0,,-3.01,,E,,101442.41
WBB,06/01/2015 00:55 MDT,85015,25.77,14.51,4.27,100.9,5.68,,12.96,0,,-3.21,,E,,101445.99
WBB,06/01/2015 01:00 MDT,85015,25.8,14.47,4.62,103,6.27,,13.03,0,,-3.23,,ESE,,101445.99
WBB,06/01/2015 01:05 MDT,85016,25.7,14.59,3.74,99.1,5,,12.95,0,,-3.2,,E,,101447.19
WBB,06/01/2015 01:10 MDT,85016,25.77,14.68,3.36,90.6,4.51,,12.96,0,,-3.06,,E,,101447.19
WBB,06/01/2015 01:15 MDT,85016,25.75,14.47,3.16,107.3,5.2,,13.03,0,,-3.27,,ESE,,101447.19
WBB,06/01/2015 01:20 MDT,85014,25.86,14.08,3.8,97.8,4.6,,13.03,0,,-3.54,,E,,101444.8
WBB,06/01/2015 01:25 MDT,85014,26.16,13.77,3.77,97.8,5.88,,12.97,0,,-3.59,,E,,101444.8
WBB,06/01/2015 01:30 MDT,85014,25.89,14.23,3.68,101.2,5.49,,13,0,,-3.38,,E,,101444.8
WBB,06/01/2015 01:35 MDT,85015,26.1,13.66,3.44,102.1,5.2,,12.98,0,,-3.75,,ESE,,101445.99
WBB,06/01/2015 01:40 MDT,85014,25.37,14.92,2.88,106.5,5.39,,13.04,0,,-3.17,,ESE,,101444.8
WBB,06/01/2015 01:45 MDT,85012,25.53,14.38,3.5,115.1,5.09,,13.04,0,,-3.53,,ESE,,101442.41
WBB,06/01/2015 01:50 MDT,85012,25.39,14.88,4.07,93.2,5.39,,13.04,0,,-3.19,,E,,101442.41
WBB,06/01/2015 01:55 MDT,85007,25.12,15.22,3.59,89.4,5.49,,12.97,0,,-3.1,,E,,101436.45
WBB,06/01/2015 02:00 MDT,85005,25.43,14.87,3.71,82.7,4.8,,13.04,0,,-3.16,,E,,101434.06
WBB,06/01/2015 02:05 MDT,85002,25.04,15.68,3.75,89.8,6.08,,13.04,0,,-2.77,,E,,101430.48
WBB,06/01/2015 02:10 MDT,84991,25.19,14.94,4.29,90.6,7.35,,12.98,0,,-3.29,,E,,101417.35
WBB,06/01/2015 02:15 MDT,84989,25.55,14.65,3.62,91,5.49,,13.04,0,,-3.26,,E,,101414.97
WBB,06/01/2015 02:20 MDT,84987,25.03,15.4,4.47,86.1,6.27,,13.04,0,,-3.02,,E,,101412.58
WBB,06/01/2015 02:25 MDT,84985,24.95,15.19,4.92,87.8,6.56,,12.97,0,,-3.27,,E,,101410.19
WBB,06/01/2015 02:30 MDT,84987,24.88,15.44,4.09,91.1,5.39,,13.04,0,,-3.11,,E,,101412.58
WBB,06/01/2015 02:35 MDT,84985,25.01,15.06,5.58,90,7.25,,13.01,0,,-3.33,,E,,101410.19
WBB,06/01/2015 02:40 MDT,84988,24.97,15.11,4.5,91.8,6.17,,12.98,0,,-3.32,,E,,101413.77
WBB,06/01/2015 02:45 MDT,84989,25.09,14.96,4.19,93.7,5.49,,13.04,0,,-3.36,,E,,101414.97
WBB,06/01/2015 02:50 MDT,84986,24.93,15.02,5.09,97.2,6.27,,13.04,0,,-3.43,,E,,101411.39
WBB,06/01/2015 02:55 MDT,84984,25.12,14.68,3.97,99.4,6.37,,12.98,0,,-3.58,,E,,101409
WBB,06/01/2015 03:00 MDT,84984,25.07,14.79,4.37,98.5,5.59,,13.04,0,,-3.53,,E,,101409
WBB,06/01/2015 03:05 MDT,84981,24.84,15.09,4.56,94.4,5.78,,12.99,0,,-3.45,,E,,101405.42
WBB,06/01/2015 03:10 MDT,84978,25.4,14.33,4.22,90.7,5.68,,13.05,0,,-3.68,,E,,101401.84
WBB,06/01/2015 03:15 MDT,84977,25.09,14.76,4.16,94.5,5.29,,13.04,0,,-3.54,,E,,101400.65
WBB,06/01/2015 03:20 MDT,84977,25.22,14.72,3.72,86.4,4.8,,12.99,0,,-3.47,,E,,101400.65
WBB,06/01/2015 03:25 MDT,84980,25.11,14.87,3.72,89.2,4.7,,12.97,0,,-3.42,,E,,101404.23
WBB,06/01/2015 03:30 MDT,84984,25.01,15.01,3.89,89.5,5,,13.05,0,,-3.38,,E,,101409
WBB,06/01/2015 03:35 MDT,84985,24.91,15.33,3.18,86.7,4.41,,12.98,0,,-3.18,,E,,101410.19
WBB,06/01/2015 03:40 MDT,84978,24.99,15.02,3.89,86.5,5.68,,12.98,0,,-3.39,,E,,101401.84
WBB,06/01/2015 03:45 MDT,84973,25.06,14.81,4.48,91.4,5.88,,13.05,0,,-3.52,,E,,101395.88
WBB,06/01/2015 03:50 MDT,84979,24.53,15.82,2.14,106.2,3.92,,13,0,,-3.07,,ESE,,101403.03
WBB,06/01/2015 03:55 MDT,84984,24.57,15.25,2.33,91.3,4.02,,12.97,0,,-3.52,,E,,101409
WBB,06/01/2015 04:00 MDT,84991,23.02,21.2,1.9,303.5,3.23,,13.05,0,,-0.37,,WNW,,101417.35
WBB,06/01/2015 04:05 MDT,84992,21.79,22.94,1.98,289.4,2.84,,13,0,,-0.33,,WNW,,101418.55
WBB,06/01/2015 04:10 MDT,84992,21.23,24.81,0.91,272.5,1.76,,12.99,0,,0.27,,W,,101418.55
WBB,06/01/2015 04:20 MDT,84983,21.33,22.81,2.05,54.12,2.94,,13,0,,-0.8,,NE,,101407.81
WBB,06/01/2015 04:25 MDT,84976,22.38,20.2,2.22,51.57,3.04,,13.01,0,,-1.57,,NE,,101399.46
WBB,06/01/2015 04:30 MDT,84965,23.03,18.01,2.12,103.8,4.9,,13.07,0,,-2.57,,ESE,,101386.33
WBB,06/01/2015 04:35 MDT,84960,23.83,17.48,3.37,83.6,5.59,,13,0,,-2.31,,E,,101380.36
WBB,06/01/2015 04:40 MDT,84962,23.63,17.83,3.27,107,5.39,,13.02,0,,-2.21,,ESE,,101382.75
