# STATION: WBB
# STATION NAME: U of U William Browning Building
# LATITUDE: 40.76623
# LONGITUDE: -111.84755
# ELEVATION [ft]: 4806
# STATE: UT
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,altimeter_set_1d
,,Pascals,Celsius,%,Meters/second,Degrees,Meters/second,Millimeters,volts,W/m**2,Millimeters,Celsius,Celsius,Degrees,Celsius,Pascals
WBB,08/01/2016 00:00 MDT,85154.0,27.57,26.17,1.97,62.98,2.94,,12.98,0.0,,6.46,,ENE,26.64,101611.86
WBB,08/01/2016 00:05 MDT,85158.0,27.58,25.71,1.73,62.17,3.13,,12.98,0.0,,6.21,,ENE,26.63,101616.63
WBB,08/01/2016 00:10 MDT,85162.0,27.64,25.71,1.21,59.27,2.45,,12.91,0.0,,6.27,,ENE,26.67,101621.4
WBB,08/01/2016 00:15 MDT,85164.0,27.79,25.15,1.79,64.69,2.84,,12.92,0.0,,6.08,,ENE,26.75,101623.79
WBB,08/01/2016 00:20 MDT,85165.0,27.65,26.59,1.73,68.4,2.45,,12.91,0.0,,6.76,,ENE,26.71,101624.98
WBB,08/01/2016 00:25 MDT,85168.0,27.57,25.57,1.91,59.45,2.64,,12.91,0.0,,6.13,,ENE,26.62,101628.56
WBB,08/01/2016 00:30 MDT,85169.0,27.46,26.12,2.33,77.67,3.23,,12.99,0.0,,6.34,,ENE,26.57,101629.76
WBB,08/01/2016 00:35 MDT,85175.0,27.69,26.38,1.69,79.55,2.64,,12.91,0.0,,6.68,,E,26.73,101636.92
WBB,08/01/2016 00:40 MDT,85188.0,27.35,27.84,1.01,284.4,3.13,,12.91,0.0,,7.17,,WNW,26.56,101652.43
WBB,08/01/2016 00:45 MDT,85197.0,26.03,30.4,2.18,281.5,3.63,,12.99,0.0,,7.3,,WNW,,101663.17
WBB,08/01/2016 00:50 MDT,85209.0,24.97,32.15,2.52,275.4,4.51,,12.99,0.0,,7.19,,W,,101677.49
WBB,08/01/2016 00:55 MDT,85212.0,25.04,30.7,1.58,269.7,3.92,,12.99,0.0,,6.58,,W,,101681.07
WBB,08/01/2016 01:00 MDT,85210.0,24.83,32.33,1.31,63.88,2.55,,12.93,0.0,,7.14,,ENE,,101678.68
WBB,08/01/2016 01:05 MDT,85207.0,24.67,32.55,2.27,79.17,2.64,,12.93,0.0,,7.1,,E,,101675.1
WBB,08/01/2016 01:10 MDT,85208.0,24.99,31.98,2.11,73.14,2.64,,13.0,0.0,,7.13,,ENE,,101676.29
WBB,08/01/2016 01:15 MDT,85211.0,25.25,29.8,2.48,51.06,3.33,,13.0,0.0,,6.33,,NE,,101679.87
WBB,08/01/2016 01:20 MDT,85212.0,25.8,27.83,2.87,51.32,3.92,,12.92,0.0,,5.82,,NE,,101681.07
WBB,08/01/2016 01:25 MDT,85212.0,25.88,27.99,2.21,53.01,2.84,,13.0,0.0,,5.97,,NE,,101681.07
WBB,08/01/2016 01:30 MDT,85210.0,25.58,28.35,2.53,46.66,3.23,,13.0,0.0,,5.9,,NE,,101678.68
WBB,08/01/2016 01:35 MDT,85214.0,25.56,28.0,2.71,33.03,3.33,,12.94,0.0,,5.7,,NNE,,101683.45
WBB,08/01/2016 01:40 MDT,85217.0,25.58,27.83,3.09,26.57,4.02,,13.0,0.0,,5.63,,NNE,,101687.03
WBB,08/01/2016 01:45 MDT,85222.0,25.38,28.55,1.86,357.8,3.04,,13.0,0.0,,5.82,,N,,101693.0
WBB,08/01/2016 01:50 MDT,85223.0,25.33,28.78,1.82,357.8,2.74,,12.93,0.0,,5.9,,N,,101694.19
WBB,08/01/2016 01:55 MDT,85224.0,25.21,29.24,1.91,4.48,3.04,,12.93,0.0,,6.02,,N,,101695.39
WBB,08/01/2016 02:00 MDT,85224.0,25.29,29.27,1.13,4.94,2.55,,13.01,0.0,,6.1,,N,,101695.39
WBB,08/01/2016 02:05 MDT,85225.0,25.3,29.39,0.99,358.9,1.67,,12.93,0.0,,6.17,,N,,101696.58
WBB,08/01/2016 02:10 MDT,85223.0,25.32,29.41,2.48,33.85,3.23,,12.93,0.0,,6.2,,NE,,101694.19
WBB,08/01/2016 02:15 MDT,85223.0,25.28,29.5,3.13,34.83,4.12,,13.01,0.0,,6.21,,NE,,101694.19
WBB,08/01/2016 02:20 MDT,85223.0,25.2,29.75,3.86,34.71,4.7,,13.01,0.0,,6.26,,NE,,101694.19
WBB,08/01/2016 02:25 MDT,85219.0,24.99,30.6,4.12,39.35,4.9,,12.95,0.0,,6.49,,NE,,101689.42
WBB,08/01/2016 02:30 MDT,85222.0,24.96,30.49,4.49,47.12,5.59,,13.01,0.0,,6.41,,NE,,101693.0
WBB,08/01/2016 02:35 MDT,85222.0,25.01,30.5,3.95,56.2,5.49,,12.95,0.0,,6.46,,NE,,101693.0
WBB,08/01/2016 02:40 MDT,85226.0,24.92,31.26,2.86,74.97,4.8,,12.94,0.0,,6.73,,ENE,,101697.77
WBB,08/01/2016 02:45 MDT,85228.0,24.93,31.06,2.84,61.83,3.82,,13.01,0.0,,6.65,,ENE,,101700.16
WBB,08/01/2016 02:50 MDT,85223.0,25.36,29.45,3.45,61.54,4.41,,12.94,0.0,,6.25,,ENE,,101694.19
WBB,08/01/2016 02:55 MDT,85223.0,25.53,29.45,1.67,54.36,2.35,,12.94,0.0,,6.4,,NE,,101694.19
WBB,08/01/2016 03:00 MDT,85222.0,25.71,28.37,3.03,24.73,4.6,,12.94,0.0,,6.02,,NNE,,101693.0
WBB,08/01/2016 03:05 MDT,85232.0,25.04,29.81,1.9,39.22,3.13,,12.95,0.0,,6.15,,NE,,101704.93
WBB,08/01/2016 03:10 MDT,85233.0,24.58,31.35,1.29,5.19,2.25,,12.94,0.0,,6.48,,N,,101706.13
WBB,08/01/2016 03:15 MDT,85228.0,24.43,31.16,1.87,58.67,2.94,,12.96,0.0,,6.26,,ENE,,101700.16
WBB,08/01/2016 03:20 MDT,85224.0,24.52,30.5,2.55,48.18,3.13,,12.94,0.0,,6.03,,NE,,101695.39
WBB,08/01/2016 03:25 MDT,85223.0,24.45,32.49,2.47,72.85,3.33,,12.95,0.0,,6.88,,ENE,,101694.19
WBB,08/01/2016 03:30 MDT,85223.0,24.77,31.2,3.13,88.7,4.31,,13.01,0.0,,6.57,,E,,101694.19
WBB,08/01/2016 03:35 MDT,85224.0,25.39,29.67,1.3,97.5,3.82,,13.02,0.0,,6.39,,E,,101695.39
WBB,08/01/2016 03:40 MDT,85224.0,26.13,26.7,1.77,102.7,2.84,,13.02,0.0,,5.51,,ESE,,101695.39
WBB,08/01/2016 03:45 MDT,85224.0,26.21,28.29,1.59,79.56,2.25,,13.01,0.0,,6.41,,E,,101695.39
WBB,08/01/2016 03:50 MDT,85223.0,26.04,28.19,1.98,66.62,3.04,,12.95,0.0,,6.21,,ENE,,101694.19
WBB,08/01/2016 03:55 MDT,85223.0,25.8,29.33,0.94,71.43,1.76,,12.96,0.0,,6.58,,ENE,,101694.19
WBB,08/01/2016 04:00 MDT,85223.0,25.92,27.2,0.31,226.9,1.28,,12.97,0.0,,5.59,,SW,,101694.19
WBB,08/01/2016 04:05 MDT,85232.0,25.87,29.62,1.18,229.4,2.74,,12.96,0.0,,6.78,,SW,,101704.93
WBB,08/01/2016 04:10 MDT,85236.0,25.07,30.65,0.39,267.3,1.67,,12.95,0.0,,6.58,,W,,101709.71
WBB,08/01/2016 04:15 MDT,85243.0,24.6,30.87,1.65,334.6,2.35,,13.02,0.0,,6.27,,NNW,,101718.06
WBB,08/01/2016 04:20 MDT,85245.0,24.58,30.03,2.37,15.78,3.33,,13.02,0.0,,5.85,,NNE,,101720.45
WBB,08/01/2016 04:25 MDT,85246.0,24.64,30.1,2.47,9.48,3.53,,12.96,0.0,,5.94,,N,,101721.64
WBB,08/01/2016 04:30 MDT,85239.0,24.66,30.02,2.99,10.76,3.92,,13.02,0.0,,5.92,,N,,101713.29
WBB,08/01/2016 04:35 MDT,85244.0,24.53,30.3,3.27,11.86,4.31,,12.93,0.0,,5.94,,NNE,,101719.25
WBB,08/01/2016 04:40 MDT,85243.0,24.22,30.96,3.14,16.73,3.72,,12.96,0.0,,5.98,,NNE,,101718.06
WBB,08/01/2016 04:45 MDT,85246.0,24.12,31.22,2.88,18.2,3.53,,13.03,0.0,,6.01,,NNE,,101721.64
WBB,08/01/2016 04:50 MDT,85249.0,24.1,31.2,3.27,9.04,4.02,,13.03,0.0,,5.99,,N,,101725.22
WBB,08/01/2016 04:55 MDT,85247.0,24.08,31.44,3.64,8.9,4.12,,12.94,0.0,,6.08,,N,,101722.83
WBB,08/01/2016 05:00 MDT,85249.0,23.85,32.03,3.5,357.2,3.92,,13.03,0.0,,6.15,,N,,101725.22
WBB,08/01/2016 05:05 MDT,85250.0,23.52,32.93,3.18,351.5,4.02,,12.95,0.0,,6.26,,N,,101726.41
WBB,08/01/2016 05:10 MDT,85254.0,23.17,34.12,2.93,2.8,3.43,,13.0,0.0,,6.46,,N,,101731.18
WBB,08/01/2016 05:15 MDT,85263.0,23.05,34.65,3.34,1.76,4.41,,13.03,0.0,,6.58,,N,,101741.92
WBB,08/01/2016 05:20 MDT,85257.0,23.16,34.36,4.06,8.78,4.8,,12.95,0.0,,6.55,,N,,101734.76
WBB,08/01/2016 05:25 MDT,85264.0,23.33,33.77,4.01,15.11,4.6,,13.03,0.0,,6.45,,NNE,,101743.12
WBB,08/01/2016 05:30 MDT,85263.0,23.39,33.58,4.21,20.65,5.29,,13.03,0.0,,6.42,,NNE,,101741.92
WBB,08/01/2016 05:35 MDT,85256.0,23.58,32.89,4.34,31.35,5.0,,12.94,0.0,,6.29,,NNE,,101733.57
WBB,08/01/2016 05:40 MDT,85260.0,23.66,32.6,3.64,38.3,4.9,,13.03,0.0,,6.23,,NE,,101738.34
WBB,08/01/2016 05:45 MDT,85264.0,23.84,32.12,3.22,42.76,4.12,,13.03,0.0,,6.18,,NE,,101743.12
WBB,08/01/2016 05:50 MDT,85271.0,23.86,32.36,1.16,90.4,2.45,,12.97,0.0,,6.3,,E,,101751.47
WBB,08/01/2016 05:55 MDT,85281.0,23.53,34.41,0.31,169.3,1.28,,13.03,0.0,,6.9,,S,,101763.4
WBB,08/01/2016 06:00 MDT,85288.0,23.34,34.56,0.1,225.5,1.08,,13.03,0.0,,6.8,,SW,,101771.76
WBB,08/01/2016 06:05 MDT,85296.0,23.23,36.41,0.2,220.0,1.08,,12.97,0.0,,7.46,,SW,,101781.3
WBB,08/01/2016 06:10 MDT,85295.0,23.16,35.01,0.5,60.57,1.57,,12.96,0.29,,6.83,,ENE,,101780.11
WBB,08/01/2016 06:15 MDT,85294.0,22.98,34.34,2.21,46.72,2.94,,13.03,0.61,,6.39,,NE,,101778.92
WBB,08/01/2016 06:20 MDT,85295.0,23.15,33.8,2.54,53.02,3.43,,13.04,1.17,,6.31,,NE,,101780.11
WBB,08/01/2016 06:25 MDT,85298.0,23.29,33.11,2.53,41.67,3.53,,12.95,1.77,,6.13,,NE,,101783.69
WBB,08/01/2016 06:30 MDT,85306.0,23.38,32.86,1.81,9.4,3.13,,12.95,3.25,,6.1,,N,,101793.23
WBB,08/01/2016 06:35 MDT,85308.0,23.46,32.79,1.99,19.28,2.64,,12.97,6.02,,6.14,,NNE,,101795.62
WBB,08/01/2016 06:40 MDT,85309.0,23.57,32.9,2.05,3.68,2.55,,12.97,9.26,,6.29,,N,,101796.81
WBB,08/01/2016 06:45 MDT,85308.0,23.69,32.83,2.25,19.88,2.94,,13.04,12.95,,6.36,,NNE,,101795.62
WBB,08/01/2016 06:50 MDT,85315.0,23.81,32.92,2.02,6.15,2.64,,12.97,15.98,,6.51,,N,,101803.97
WBB,08/01/2016 06:55 MDT,85321.0,23.71,33.26,2.24,7.93,3.23,,12.97,18.64,,6.57,,N,,101811.13
WBB,08/01/2016 07:00 MDT,85326.0,23.75,33.53,1.59,5.37,2.45,,13.04,21.43,,6.72,,N,,101817.1
WBB,08/01/2016 07:05 MDT,85335.0,23.72,33.91,1.48,5.83,2.25,,12.99,23.74,,6.86,,N,,101827.84
WBB,08/01/2016 07:10 MDT,85336.0,23.73,33.75,1.35,9.6,1.96,,12.99,26.63,,6.8,,N,,101829.03
WBB,08/01/2016 07:15 MDT,85343.0,23.82,33.96,1.24,354.6,2.06,,13.04,48.23,,6.97,,N,,101837.39
WBB,08/01/2016 07:20 MDT,85348.0,24.18,33.39,0.96,348.9,1.67,,13.04,70.29,,7.04,,N,,101843.35
WBB,08/01/2016 07:25 MDT,85350.0,24.83,32.54,0.11,341.5,0.68,,12.97,83.9,,7.24,,NNW,,101845.74
WBB,08/01/2016 07:30 MDT,85358.0,25.02,32.88,0.0,,0.0,,13.04,45.81,,7.56,,,,101855.28
WBB,08/01/2016 07:35 MDT,85360.0,24.44,34.3,0.02,336.5,0.29,,12.96,47.12,,7.66,,NNW,,101857.67
WBB,08/01/2016 07:40 MDT,85363.0,24.17,36.75,0.7,322.3,1.28,,12.98,111.0,,8.44,,NW,,101861.25
WBB,08/01/2016 07:45 MDT,85364.0,24.55,33.9,0.32,325.8,0.98,,13.04,126.3,,7.59,,NW,,101862.44
WBB,08/01/2016 07:50 MDT,85372.0,24.64,34.45,0.71,329.4,1.37,,13.04,118.1,,7.91,,NNW,,101871.99
WBB,08/01/2016 07:55 MDT,85378.0,24.72,34.82,0.21,340.2,0.98,,12.97,159.4,,8.13,,NNW,,101879.15
WBB,08/01/2016 08:00 MDT,85389.0,25.04,35.49,1.12,318.3,1.86,,12.96,168.9,,8.7,,NW,,101892.28
WBB,08/01/2016 08:05 MDT,85388.0,24.25,37.75,1.49,343.2,2.06,,12.95,176.5,,8.91,,NNW,,101891.08
WBB,08/01/2016 08:10 MDT,85387.0,24.58,36.85,1.56,350.2,2.35,,12.94,190.5,,8.85,,N,,101889.89
WBB,08/01/2016 08:15 MDT,85394.0,24.69,36.48,1.31,350.8,2.25,,13.03,201.9,,8.79,,N,,101898.24
WBB,08/01/2016 08:20 MDT,85399.0,24.36,37.9,2.3,321.2,3.13,,13.02,213.7,,9.06,,NW,,101904.21
WBB,08/01/2016 08:25 MDT,85410.0,23.89,40.04,1.4,300.2,3.04,,13.01,224.4,,9.46,,WNW,,101917.33
WBB,08/01/2016 08:30 MDT,85415.0,24.38,38.44,1.44,311.3,2.55,,13.01,234.0,,9.29,,NW,,101923.3
WBB,08/01/2016 08:35 MDT,85425.0,24.33,35.62,1.65,309.0,2.74,,13.01,245.5,,8.12,,NW,,101935.23
WBB,08/01/2016 08:40 MDT,85438.0,24.39,35.53,2.12,305.3,3.33,,13.01,257.6,,8.14,,NW,,101950.75
WBB,08/01/2016 08:45 MDT,85439.0,24.25,35.3,2.52,321.7,3.53,,13.01,269.8,,7.92,,NW,,101951.94
WBB,08/01/2016 08:50 MDT,85439.0,24.25,35.53,2.7,318.1,3.53,,12.93,282.9,,8.01,,NW,,101951.94
WBB,08/01/2016 08:55 MDT,85439.0,25.0,34.85,0.88,320.7,2.45,,12.94,294.7,,8.4,,NW,,101951.94
WBB,08/01/2016 09:00 MDT,85444.0,25.51,32.98,1.13,312.5,2.16,,13.01,306.3,,8.04,,NW,,101957.91
WBB,08/01/2016 09:05 MDT,85449.0,25.87,32.9,1.17,327.0,1.96,,12.93,317.4,,8.32,,NNW,,101963.87
WBB,08/01/2016 09:10 MDT,85451.0,26.12,32.87,0.46,324.8,1.67,,12.92,328.2,,8.53,,NW,,101966.26
WBB,08/01/2016 09:15 MDT,85451.0,26.94,31.59,0.62,332.7,1.28,,12.99,340.7,,8.66,,NNW,26.51,101966.26
WBB,08/01/2016 09:20 MDT,85452.0,27.44,31.35,0.34,344.6,1.18,,12.93,352.1,,8.99,,NNW,26.76,101967.45
WBB,08/01/2016 09:25 MDT,85458.0,28.31,30.47,0.39,328.8,1.67,,12.94,362.6,,9.33,,NNW,27.35,101974.61
WBB,08/01/2016 09:30 MDT,85463.0,28.21,30.15,0.7,298.2,2.35,,12.98,372.6,,9.09,,WNW,27.26,101980.58
WBB,08/01/2016 09:35 MDT,85464.0,27.96,30.79,0.95,267.5,2.45,,12.9,383.3,,9.18,,W,27.1,101981.77
WBB,08/01/2016 09:40 MDT,85462.0,28.1,30.34,1.22,283.3,2.84,,12.92,394.9,,9.08,,WNW,27.18,101979.39
WBB,08/01/2016 09:45 MDT,85462.0,28.26,30.33,0.91,286.0,2.94,,12.97,405.0,,9.22,,WNW,27.3,101979.39
WBB,08/01/2016 09:50 MDT,85460.0,28.15,30.96,1.08,298.9,2.94,,12.87,416.3,,9.43,,WNW,27.25,101977.0
WBB,08/01/2016 09:55 MDT,85465.0,28.68,29.07,0.68,270.7,2.64,,12.88,426.0,,8.96,,W,27.56,101982.96
WBB,08/01/2016 10:00 MDT,85468.0,28.46,28.84,1.61,320.0,2.94,,12.89,437.4,,8.65,,NW,27.38,101986.54
WBB,08/01/2016 10:05 MDT,85469.0,28.47,29.59,1.13,281.1,2.35,,12.88,448.7,,9.04,,W,27.43,101987.74
WBB,08/01/2016 10:10 MDT,85471.0,28.25,29.66,1.88,255.8,3.04,,12.89,458.4,,8.88,,WSW,27.26,101990.12
WBB,08/01/2016 10:15 MDT,85469.0,28.75,28.5,0.74,254.5,1.76,,12.87,469.6,,8.73,,WSW,27.59,101987.74
WBB,08/01/2016 10:20 MDT,85472.0,29.22,27.61,1.15,263.2,2.94,,12.85,479.1,,8.67,,W,27.92,101991.32
WBB,08/01/2016 10:25 MDT,85470.0,29.47,27.37,1.05,248.2,2.45,,12.94,487.9,,8.76,,WSW,28.12,101988.93
WBB,08/01/2016 10:30 MDT,85468.0,29.54,27.36,0.95,262.1,2.84,,12.94,497.7,,8.81,,W,28.18,101986.54
WBB,08/01/2016 10:35 MDT,85467.0,29.79,26.53,1.36,304.1,3.53,,12.85,507.7,,8.57,,NW,28.34,101985.35
WBB,08/01/2016 10:40 MDT,85466.0,29.85,26.4,0.87,275.9,2.64,,12.86,515.8,,8.55,,W,28.39,101984.16
