# STATION: WBB
# STATION NAME: U of U William Browning Building
# LATITUDE: 40.76623
# LONGITUDE: -111.84755
# ELEVATION [ft]: 4806
# STATE: UT
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,altimeter_set_1d
,,Pascals,Celsius,%,Meters/second,Degrees,Meters/second,Millimeters,volts,W/m**2,Millimeters,Celsius,Celsius,Degrees,Celsius,Pascals
WBB,07/01/2016 00:05 MDT,85462.0,23.38,42.12,2.3,335.8,3.33,,13.01,0.0,,9.75,,NNW,,101979.39
WBB,07/01/2016 00:10 MDT,85481.0,23.29,42.49,0.71,338.8,2.06,,12.96,0.0,,9.8,,NNW,,102002.06
WBB,07/01/2016 00:15 MDT,85483.0,23.15,43.25,0.09,334.5,0.59,,12.95,0.0,,9.94,,NNW,,102004.44
WBB,07/01/2016 00:20 MDT,85491.0,23.06,42.6,0.41,351.6,1.28,,12.96,0.0,,9.63,,N,,102013.99
WBB,07/01/2016 00:25 MDT,85493.0,23.0,42.22,0.68,12.72,1.76,,12.96,0.0,,9.44,,NNE,,102016.38
WBB,07/01/2016 00:30 MDT,85493.0,22.87,42.84,0.34,24.59,2.35,,13.02,0.0,,9.54,,NNE,,102016.38
WBB,07/01/2016 00:35 MDT,85491.0,22.78,42.65,2.18,3.15,2.84,,13.03,0.0,,9.39,,N,,102013.99
WBB,07/01/2016 00:40 MDT,85486.0,22.92,42.15,1.23,5.96,2.35,,12.96,0.0,,9.34,,N,,102008.02
WBB,07/01/2016 00:45 MDT,85482.0,22.82,42.75,0.62,1.9,1.28,,13.03,0.0,,9.46,,N,,102003.25
WBB,07/01/2016 00:50 MDT,85483.0,22.75,42.38,1.06,354.2,2.06,,13.03,0.0,,9.27,,N,,102004.44
WBB,07/01/2016 00:55 MDT,85481.0,22.66,42.26,1.85,7.34,2.74,,12.94,0.0,,9.15,,N,,102002.06
WBB,07/01/2016 01:00 MDT,85478.0,22.84,40.96,2.82,343.6,4.12,,13.03,0.0,,8.85,,NNW,,101998.48
WBB,07/01/2016 01:05 MDT,85476.0,23.01,40.65,2.31,358.6,3.23,,12.98,0.0,,8.89,,N,,101996.09
WBB,07/01/2016 01:10 MDT,85471.0,22.55,42.41,2.11,12.25,2.64,,13.03,0.0,,9.1,,NNE,,101990.12
WBB,07/01/2016 01:15 MDT,85471.0,22.33,43.07,2.82,27.19,3.43,,13.03,0.0,,9.13,,NNE,,101990.12
WBB,07/01/2016 01:20 MDT,85467.0,22.27,43.43,2.77,26.65,3.43,,12.96,0.0,,9.2,,NNE,,101985.35
WBB,07/01/2016 01:25 MDT,85457.0,22.16,44.05,3.39,38.41,4.21,,13.03,0.0,,9.31,,NE,,101973.42
WBB,07/01/2016 01:30 MDT,85449.0,22.14,44.09,3.72,38.12,4.31,,13.04,0.0,,9.3,,NE,,101963.87
WBB,07/01/2016 01:35 MDT,85445.0,22.13,44.1,3.67,39.13,4.51,,13.03,0.0,,9.3,,NE,,101959.1
WBB,07/01/2016 01:40 MDT,85441.0,21.97,44.58,4.08,38.16,5.0,,13.03,0.0,,9.31,,NE,,101954.33
WBB,07/01/2016 01:45 MDT,85437.0,21.83,44.95,4.35,39.84,5.29,,13.04,0.0,,9.31,,NE,,101949.55
WBB,07/01/2016 01:50 MDT,85439.0,21.83,45.09,4.0,34.79,4.8,,13.04,0.0,,9.35,,NE,,101951.94
WBB,07/01/2016 01:55 MDT,85440.0,21.81,45.09,3.87,30.58,4.7,,12.95,0.0,,9.34,,NNE,,101953.13
WBB,07/01/2016 02:00 MDT,85430.0,21.86,45.03,3.3,27.18,4.31,,13.04,0.0,,9.36,,NNE,,101941.2
WBB,07/01/2016 02:05 MDT,85433.0,21.74,45.85,2.61,6.29,3.72,,13.04,0.0,,9.52,,N,,101944.78
WBB,07/01/2016 02:10 MDT,85434.0,21.75,46.73,3.08,353.0,4.9,,12.97,0.0,,9.81,,N,,101945.97
WBB,07/01/2016 02:15 MDT,85430.0,21.85,47.12,2.72,359.1,4.12,,13.04,0.0,,10.03,,N,,101941.2
WBB,07/01/2016 02:20 MDT,85430.0,21.56,47.34,3.2,11.61,4.21,,13.04,0.0,,9.83,,NNE,,101941.2
WBB,07/01/2016 02:25 MDT,85429.0,21.58,48.04,3.12,14.74,4.02,,13.04,0.0,,10.07,,NNE,,101940.01
WBB,07/01/2016 02:30 MDT,85428.0,21.08,49.26,3.93,33.05,4.8,,13.04,0.0,,9.99,,NNE,,101938.81
WBB,07/01/2016 02:35 MDT,85425.0,21.14,48.54,3.88,39.61,5.09,,12.97,0.0,,9.82,,NE,,101935.23
WBB,07/01/2016 02:40 MDT,85428.0,21.12,48.39,4.26,40.7,5.39,,13.05,0.0,,9.76,,NE,,101938.81
WBB,07/01/2016 02:45 MDT,85426.0,21.08,48.22,4.0,38.76,4.8,,13.05,0.0,,9.67,,NE,,101936.43
WBB,07/01/2016 02:50 MDT,85427.0,21.16,47.92,3.41,38.37,4.31,,13.05,0.0,,9.65,,NE,,101937.62
WBB,07/01/2016 02:55 MDT,85424.0,21.06,48.13,3.19,37.53,4.21,,13.0,0.0,,9.62,,NE,,101934.04
WBB,07/01/2016 03:00 MDT,85416.0,21.12,47.84,3.07,49.3,4.12,,13.05,0.0,,9.59,,NE,,101924.49
WBB,07/01/2016 03:05 MDT,85414.0,21.05,48.31,2.09,45.75,4.12,,12.99,0.0,,9.67,,NE,,101922.11
WBB,07/01/2016 03:10 MDT,85408.0,20.85,48.86,3.33,50.48,4.31,,12.97,0.0,,9.65,,NE,,101914.95
WBB,07/01/2016 03:15 MDT,85407.0,20.87,48.68,3.28,55.11,4.6,,12.98,0.0,,9.62,,NE,,101913.76
WBB,07/01/2016 03:20 MDT,85408.0,20.91,48.6,1.85,61.19,3.13,,13.06,0.0,,9.63,,ENE,,101914.95
WBB,07/01/2016 03:25 MDT,85407.0,20.84,48.58,2.93,55.65,4.31,,12.99,0.0,,9.56,,NE,,101913.76
WBB,07/01/2016 03:30 MDT,85404.0,20.9,48.28,2.33,56.16,3.82,,13.06,0.0,,9.52,,NE,,101910.18
WBB,07/01/2016 03:35 MDT,85394.0,20.85,48.31,3.11,45.67,3.82,,13.0,0.0,,9.48,,NE,,101898.24
WBB,07/01/2016 03:40 MDT,85394.0,20.89,47.75,3.16,48.4,3.82,,13.0,0.0,,9.35,,NE,,101898.24
WBB,07/01/2016 03:45 MDT,85393.0,20.83,48.22,2.72,51.75,3.53,,12.98,0.0,,9.44,,NE,,101897.05
WBB,07/01/2016 03:50 MDT,85390.0,20.62,48.86,3.05,39.5,3.92,,13.02,0.0,,9.44,,NE,,101893.47
