# STATION: WBB,,,,,,,,,,,,,,,,
# STATION NAME: U of U William Browning Building,,,,,,,,,,,,,,,,
# LATITUDE: 40.76623,,,,,,,,,,,,,,,,
# LONGITUDE: -111.84755,,,,,,,,,,,,,,,,
# ELEVATION [ft]: 4806,,,,,,,,,,,,,,,,
# STATE: UT,,,,,,,,,,,,,,,,
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,altimeter_set_1d
,Date_Time,Pascals,Celsius,%,Meters/second,Degrees,Meters/second,Millimeters,volts,W/m**2,Millimeters,Celsius,Celsius,Degrees,Celsius,Pascals
WBB,06/01/2016 00:00 MDT,85414,18.17,26.07,3.98,44.84,5.29,,13.15,0,,-1.68,,NE,,101922.11
WBB,06/01/2016 00:05 MDT,85414,17.66,28.07,4.4,50.71,5.98,,13.08,0,,-1.12,,NE,,101922.11
WBB,06/01/2016 00:10 MDT,85419,17.75,28.05,2.96,55.85,4.31,,13.09,0,,-1.05,,NE,,101928.07
WBB,06/01/2016 00:15 MDT,85424,18.1,28.24,1.28,78.22,2.06,,13.15,0,,-0.66,,ENE,,101934.04
WBB,06/01/2016 00:20 MDT,85427,17.99,29.66,1.24,78.59,1.47,,13.15,0,,-0.08,,ENE,,101937.62
WBB,06/01/2016 00:25 MDT,85427,17.84,29.6,1.63,81.1,2.45,,13.15,0,,-0.24,,E,,101937.62
WBB,06/01/2016 00:30 MDT,85427,17.88,30.12,1.9,69.57,2.74,,13.16,0,,0.04,,ENE,,101937.62
WBB,06/01/2016 00:35 MDT,85424,18.08,29.85,1.47,54.22,2.35,,13.16,0,,0.09,,NE,,101934.04
WBB,06/01/2016 00:40 MDT,85414,18.2,28.53,3.13,37.85,4.31,,13.09,0,,-0.43,,NE,,101922.11
WBB,06/01/2016 00:45 MDT,85411,18.18,28.91,3.45,38.69,4.41,,13.17,0,,-0.26,,NE,,101918.53
WBB,06/01/2016 00:50 MDT,85410,18.08,29.52,3.12,47.99,3.92,,13.09,0,,-0.06,,NE,,101917.33
WBB,06/01/2016 00:55 MDT,85405,17.87,29.84,3.36,41.38,4.31,,13.16,0,,-0.1,,NE,,101911.37
WBB,06/01/2016 01:00 MDT,85401,18.3,29.87,3.8,41.81,4.6,,13.1,0,,0.29,,NE,,101906.6
WBB,06/01/2016 01:05 MDT,85402,18.11,30.05,2.85,20.62,4.31,,13.12,0,,0.21,,NNE,,101907.79
WBB,06/01/2016 01:10 MDT,85398,18.49,30.4,2.85,28.01,3.63,,13.16,0,,0.7,,NNE,,101903.02
WBB,06/01/2016 01:15 MDT,85391,18.16,32.62,3.26,39.89,4.41,,13.16,0,,1.39,,NE,,101894.66
WBB,06/01/2016 01:20 MDT,85391,17.7,34.11,2.86,33.23,3.72,,13.16,0,,1.61,,NNE,,101894.66
WBB,06/01/2016 01:25 MDT,85391,18.34,31.68,2.46,26.3,4.12,,13.16,0,,1.14,,NNE,,101894.66
WBB,06/01/2016 01:30 MDT,85391,18.27,32.54,3.11,34.31,4.51,,13.16,0,,1.45,,NE,,101894.66
WBB,06/01/2016 01:35 MDT,85395,18.13,32.62,2.8,36.35,3.63,,13.08,0,,1.36,,NE,,101899.44
WBB,06/01/2016 01:40 MDT,85398,17.77,33.75,2.45,32.23,3.82,,13.16,0,,1.52,,NNE,,101903.02
WBB,06/01/2016 01:45 MDT,85398,17.54,34.26,2.67,54.37,4.12,,13.16,0,,1.53,,NE,,101903.02
