# STATION: WBB
# STATION NAME: U of U William Browning Building
# LATITUDE: 40.76623
# LONGITUDE: -111.84755
# ELEVATION [ft]: 4806
# STATE: UT
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,altimeter_set_1d
,,Pascals,Celsius,%,Meters/second,Degrees,Meters/second,Millimeters,volts,W/m**2,Millimeters,Celsius,Celsius,Degrees,Celsius,Pascals
WBB,07/01/2015 00:00 MDT,85607.0,26.15,41.76,4.52,132.9,6.76,,12.98,0.0,,12.13,,SE,,102152.41
WBB,07/01/2015 00:05 MDT,85615.0,26.17,41.76,3.85,142.6,6.17,,12.91,0.0,,12.15,,SE,,102161.96
WBB,07/01/2015 00:10 MDT,85632.0,26.18,41.75,2.77,145.1,5.59,,12.9,0.0,,12.16,,SE,,102182.24
WBB,07/01/2015 00:15 MDT,85666.0,26.18,42.37,2.24,321.1,3.63,,12.91,0.0,,12.38,,NW,,102222.81
WBB,07/01/2015 00:20 MDT,85687.0,26.16,42.17,2.08,318.0,3.13,,12.91,0.0,,12.29,,NW,,102247.87
WBB,07/01/2015 00:25 MDT,85690.0,25.44,41.22,5.52,353.8,8.52,,12.98,0.0,,11.29,,N,,102251.45
WBB,07/01/2015 00:30 MDT,85691.0,23.95,45.63,6.3,5.75,8.33,,12.98,0.0,,11.47,,N,,102252.64
WBB,07/01/2015 00:35 MDT,85692.0,24.03,43.29,5.62,20.11,8.33,,12.91,0.0,,10.75,,NNE,,102253.84
WBB,07/01/2015 00:40 MDT,85691.0,24.42,41.43,4.24,26.62,6.47,,12.99,0.0,,10.45,,NNE,,102252.64
WBB,07/01/2015 00:45 MDT,85677.0,24.35,41.11,3.28,25.92,5.39,,12.99,0.0,,10.27,,NNE,,102235.94
WBB,07/01/2015 00:50 MDT,85652.0,24.91,37.26,3.78,42.99,5.49,,12.92,0.0,,9.3,,NE,,102206.11
WBB,07/01/2015 00:55 MDT,85641.0,25.35,35.89,4.34,83.1,6.66,,12.91,0.0,,9.14,,E,,102192.98
WBB,07/01/2015 01:00 MDT,85645.0,25.44,36.31,4.99,77.49,7.25,,12.93,0.0,,9.39,,ENE,,102197.75
WBB,07/01/2015 01:05 MDT,85657.0,25.33,37.7,4.24,77.45,5.98,,12.93,0.0,,9.86,,ENE,,102212.07
WBB,07/01/2015 01:10 MDT,85660.0,25.42,37.93,3.59,69.73,4.9,,12.98,0.0,,10.03,,ENE,,102215.65
WBB,07/01/2015 01:15 MDT,85663.0,25.61,37.7,1.95,72.31,3.63,,13.0,0.0,,10.11,,ENE,,102219.23
WBB,07/01/2015 01:20 MDT,85658.0,25.79,35.74,2.58,69.2,3.53,,13.0,0.0,,9.47,,ENE,,102213.27
WBB,07/01/2015 01:25 MDT,85646.0,25.91,35.83,2.84,85.5,4.41,,12.92,0.0,,9.62,,E,,102198.95
WBB,07/01/2015 01:30 MDT,85644.0,25.75,35.79,2.32,85.0,4.02,,13.0,0.0,,9.46,,E,,102196.56
WBB,07/01/2015 01:35 MDT,85649.0,26.0,34.88,1.81,357.9,3.23,,12.98,0.0,,9.3,,N,,102202.53
WBB,07/01/2015 01:40 MDT,85656.0,25.52,35.87,2.17,307.4,3.63,,12.94,0.0,,9.29,,NW,,102210.88
WBB,07/01/2015 01:45 MDT,85657.0,25.55,34.71,2.0,340.5,2.84,,13.0,0.0,,8.82,,NNW,,102212.07
WBB,07/01/2015 01:50 MDT,85636.0,25.83,32.78,2.07,21.47,3.13,,12.95,0.0,,8.23,,NNE,,102187.01
WBB,07/01/2015 01:55 MDT,85630.0,26.04,32.0,2.87,43.62,3.63,,13.0,0.0,,8.06,,NE,,102179.85
WBB,07/01/2015 02:00 MDT,85627.0,26.25,31.08,3.89,18.19,6.27,,13.01,0.0,,7.82,,NNE,,102176.27
WBB,07/01/2015 02:05 MDT,85593.0,26.72,29.87,5.55,49.53,7.84,,13.01,0.0,,7.65,,NE,26.23,102135.7
WBB,07/01/2015 02:10 MDT,85563.0,26.87,29.73,5.66,61.74,9.6,,12.95,0.0,,7.71,,ENE,26.39,102099.91
WBB,07/01/2015 02:15 MDT,85566.0,26.75,31.07,3.67,69.14,5.68,,12.94,0.0,,8.25,,ENE,26.29,102103.49
WBB,07/01/2015 02:20 MDT,85568.0,26.1,32.39,3.3,62.45,5.68,,13.0,0.0,,8.29,,ENE,,102105.87
WBB,07/01/2015 02:25 MDT,85556.0,26.61,30.2,2.12,54.56,4.8,,12.94,0.0,,7.71,,NE,,102091.55
WBB,07/01/2015 02:30 MDT,85542.0,26.56,30.95,1.94,85.6,3.33,,13.01,0.0,,8.03,,E,,102074.85
WBB,07/01/2015 02:35 MDT,85526.0,26.46,30.75,3.28,89.6,5.59,,12.92,0.0,,7.85,,E,,102055.75
WBB,07/01/2015 02:40 MDT,85523.0,26.43,31.18,1.33,98.3,2.94,,13.0,0.0,,8.02,,E,,102052.17
WBB,07/01/2015 02:45 MDT,85513.0,26.17,32.2,1.71,109.3,2.45,,12.95,0.0,,8.27,,ESE,,102040.24
